Time,Altitude,Position East of launch,Position North of launch
9.554000000,2004.512000000,-12.489000000,-22.122000000
9.600000000,2011.969000000,-12.496000000,-22.138000000
9.644000000,2019.020000000,-12.504000000,-22.155000000
9.683000000,2025.289000000,-12.511000000,-22.171000000
9.733000000,2033.279000000,-12.520000000,-22.190000000
9.783000000,2041.224000000,-12.528000000,-22.206000000
9.833000000,2049.126000000,-12.533000000,-22.219000000
9.883000000,2056.984000000,-12.539000000,-22.231000000
9.933000000,2064.798000000,-12.545000000,-22.243000000
9.983000000,2072.568000000,-12.550000000,-22.254000000
10.033000000,2080.296000000,-12.554000000,-22.262000000
10.083000000,2087.980000000,-12.556000000,-22.267000000
10.133000000,2095.622000000,-12.558000000,-22.271000000
10.183000000,2103.222000000,-12.560000000,-22.275000000
10.233000000,2110.779000000,-12.562000000,-22.278000000
10.283000000,2118.294000000,-12.563000000,-22.280000000
10.333000000,2125.768000000,-12.563000000,-22.280000000
10.383000000,2133.200000000,-12.562000000,-22.277000000
10.433000000,2140.590000000,-12.561000000,-22.274000000
10.483000000,2147.940000000,-12.560000000,-22.270000000
10.533000000,2155.249000000,-12.558000000,-22.265000000
10.583000000,2162.516000000,-12.556000000,-22.259000000
10.633000000,2169.744000000,-12.553000000,-22.251000000
10.683000000,2176.931000000,-12.549000000,-22.242000000
10.733000000,2184.079000000,-12.545000000,-22.232000000
10.783000000,2191.186000000,-12.541000000,-22.221000000
10.833000000,2198.254000000,-12.536000000,-22.209000000
10.883000000,2205.282000000,-12.531000000,-22.195000000
10.933000000,2212.271000000,-12.524000000,-22.180000000
10.983000000,2219.222000000,-12.518000000,-22.162000000
11.033000000,2226.133000000,-12.510000000,-22.144000000
11.083000000,2233.005000000,-12.502000000,-22.125000000
11.133000000,2239.839000000,-12.494000000,-22.105000000
11.183000000,2246.635000000,-12.486000000,-22.084000000
11.233000000,2253.392000000,-12.478000000,-22.063000000
11.283000000,2260.112000000,-12.468000000,-22.040000000
11.333000000,2266.794000000,-12.458000000,-22.014000000
11.383000000,2273.438000000,-12.447000000,-21.988000000
11.433000000,2280.045000000,-12.436000000,-21.960000000
11.483000000,2286.614000000,-12.425000000,-21.931000000
11.533000000,2293.146000000,-12.413000000,-21.902000000
11.583000000,2299.642000000,-12.400000000,-21.871000000
11.633000000,2306.100000000,-12.388000000,-21.840000000
11.683000000,2312.521000000,-12.375000000,-21.808000000
11.733000000,2318.907000000,-12.362000000,-21.776000000
11.783000000,2325.255000000,-12.349000000,-21.743000000
11.833000000,2331.568000000,-12.336000000,-21.710000000
11.883000000,2337.844000000,-12.322000000,-21.674000000
11.933000000,2344.085000000,-12.307000000,-21.637000000
11.983000000,2350.289000000,-12.292000000,-21.599000000
12.033000000,2356.459000000,-12.276000000,-21.561000000
12.083000000,2362.592000000,-12.261000000,-21.521000000
12.133000000,2368.691000000,-12.245000000,-21.481000000
12.183000000,2374.754000000,-12.228000000,-21.439000000
12.233000000,2380.782000000,-12.211000000,-21.395000000
12.283000000,2386.776000000,-12.193000000,-21.351000000
12.333000000,2392.734000000,-12.175000000,-21.306000000
12.383000000,2398.658000000,-12.157000000,-21.260000000
12.433000000,2404.547000000,-12.139000000,-21.213000000
12.483000000,2410.402000000,-12.120000000,-21.166000000
12.500000000,2412.423000000,-12.114000000,-21.150000000
12.526000000,2415.448000000,-12.104000000,-21.126000000
12.565000000,2419.967000000,-12.090000000,-21.089000000
12.615000000,2425.731000000,-12.071000000,-21.040000000
12.665000000,2431.462000000,-12.050000000,-20.988000000
12.715000000,2437.159000000,-12.029000000,-20.934000000
12.765000000,2442.822000000,-12.007000000,-20.879000000
12.815000000,2448.452000000,-11.986000000,-20.825000000
12.865000000,2454.048000000,-11.966000000,-20.773000000
12.915000000,2459.610000000,-11.945000000,-20.720000000
12.965000000,2465.140000000,-11.925000000,-20.667000000
13.015000000,2470.636000000,-11.903000000,-20.611000000
13.065000000,2476.100000000,-11.880000000,-20.554000000
13.115000000,2481.530000000,-11.858000000,-20.496000000
13.165000000,2486.928000000,-11.835000000,-20.439000000
13.215000000,2492.293000000,-11.813000000,-20.381000000
13.265000000,2497.625000000,-11.790000000,-20.322000000
13.315000000,2502.926000000,-11.766000000,-20.262000000
13.365000000,2508.194000000,-11.741000000,-20.198000000
13.415000000,2513.430000000,-11.716000000,-20.134000000
13.465000000,2518.633000000,-11.691000000,-20.069000000
