Time,Altitude,Position East of launch,Position North of launch
3.957000000,689.258000000,-1.498000000,-2.710000000
3.980000000,696.712000000,-1.591000000,-2.866000000
3.992000000,700.414000000,-1.638000000,-2.945000000
4.008000000,705.568000000,-1.704000000,-3.057000000
4.032000000,713.313000000,-1.803000000,-3.223000000
4.043000000,717.069000000,-1.851000000,-3.303000000
4.061000000,722.708000000,-1.922000000,-3.423000000
4.082000000,729.549000000,-2.009000000,-3.570000000
4.094000000,733.615000000,-2.062000000,-3.658000000
4.113000000,739.718000000,-2.141000000,-3.792000000
4.129000000,744.776000000,-2.207000000,-3.902000000
4.141000000,748.717000000,-2.257000000,-3.987000000
4.159000000,754.630000000,-2.333000000,-4.114000000
4.172000000,759.052000000,-2.390000000,-4.211000000
4.181000000,761.755000000,-2.426000000,-4.270000000
4.190000000,764.909000000,-2.468000000,-4.340000000
4.205000000,769.640000000,-2.530000000,-4.445000000
4.221000000,775.012000000,-2.601000000,-4.564000000
4.229000000,777.528000000,-2.634000000,-4.619000000
4.238000000,780.426000000,-2.672000000,-4.682000000
4.251000000,784.773000000,-2.728000000,-4.776000000
4.271000000,791.290000000,-2.812000000,-4.917000000
4.283000000,795.088000000,-2.862000000,-5.001000000
4.301000000,800.781000000,-2.937000000,-5.127000000
4.327000000,809.312000000,-3.049000000,-5.314000000
4.344000000,815.037000000,-3.123000000,-5.439000000
4.371000000,823.612000000,-3.235000000,-5.626000000
4.386000000,828.410000000,-3.298000000,-5.731000000
4.408000000,835.596000000,-3.393000000,-5.890000000
4.431000000,842.984000000,-3.489000000,-6.052000000
4.449000000,848.930000000,-3.566000000,-6.181000000
4.477000000,857.826000000,-3.682000000,-6.374000000
4.500000000,865.142000000,-3.777000000,-6.534000000
4.534000000,876.078000000,-3.919000000,-6.773000000
4.584000000,891.937000000,-4.124000000,-7.116000000
4.634000000,907.681000000,-4.326000000,-7.455000000
4.684000000,923.297000000,-4.525000000,-7.788000000
4.717000000,933.309000000,-4.652000000,-8.001000000
4.765000000,948.214000000,-4.838000000,-8.315000000
4.805000000,960.487000000,-4.990000000,-8.571000000
4.855000000,975.614000000,-5.175000000,-8.884000000
4.905000000,990.598000000,-5.357000000,-9.191000000
4.955000000,1005.442000000,-5.534000000,-9.491000000
5.000000000,1018.605000000,-5.690000000,-9.754000000
5.050000000,1033.194000000,-5.860000000,-10.044000000
5.100000000,1047.653000000,-6.027000000,-10.329000000
5.150000000,1061.985000000,-6.191000000,-10.607000000
5.200000000,1076.195000000,-6.351000000,-10.881000000
5.250000000,1090.284000000,-6.507000000,-11.148000000
5.300000000,1104.256000000,-6.660000000,-11.412000000
5.350000000,1118.112000000,-6.811000000,-11.670000000
5.400000000,1131.857000000,-6.958000000,-11.924000000
5.450000000,1145.492000000,-7.101000000,-12.171000000
5.500000000,1159.018000000,-7.241000000,-12.415000000
5.550000000,1172.440000000,-7.379000000,-12.655000000
5.600000000,1185.757000000,-7.514000000,-12.889000000
5.650000000,1198.973000000,-7.646000000,-13.119000000
5.700000000,1212.089000000,-7.774000000,-13.345000000
5.750000000,1225.106000000,-7.900000000,-13.566000000
5.800000000,1238.028000000,-8.024000000,-13.783000000
5.850000000,1250.854000000,-8.145000000,-13.997000000
5.900000000,1263.587000000,-8.262000000,-14.205000000
5.950000000,1276.229000000,-8.378000000,-14.410000000
6.000000000,1288.779000000,-8.490000000,-14.611000000
6.050000000,1301.242000000,-8.600000000,-14.808000000
6.100000000,1313.616000000,-8.708000000,-15.001000000
6.150000000,1325.904000000,-8.813000000,-15.190000000
6.200000000,1338.107000000,-8.916000000,-15.375000000
6.250000000,1350.226000000,-9.015000000,-15.556000000
